name,difficulty,full cells,exec time,restored nodes,tentative assignments
easy1,easy,35,0.0015,0,46
,,,,,
easy2,easy,37,0.0015,0,44
,,,,,
easy3,easy,38,0.0016,0,43
,,,,,
easy4,easy,40,0.0015,0,42
,,,,,
easy5,easy,41,0.0015,0,40
,,,,,
easy6,easy,35,0.0017,0,46
,,,,,
normal1,normal,29,0.0021,11,63
,,,,,
normal2,normal,30,0.0016,0,51
,,,,,
normal3,normal,32,0.0018,3,51
,,,,,
normal4,normal,32,0.0017,3,52
,,,,,
normal5,normal,30,0.013,316,367
,,,,,
medium1,medium,29,0.0035,75,127
,,,,,
medium2,medium,25,0.0033,5,61
,,,,,
medium3,medium,25,0.0018,2,58
,,,,,
medium4,medium,28,0.0032,56,109
,,,,,
medium5,medium,25,0.0017,0,56
,,,,,
hard1,hard,23,0.0846,3204,3262
,,,,,
hard2,hard,25,0.0024,29,85
,,,,,
hard3,hard,23,0.0017,2,60
,,,,,
hard4,hard,22,0.0022,0,59
,,,,,
hard5,hard,21,0.0018,0,60
,,,,,
hard6,hard,21,0.0594,1313,1373
